;Sample;season;site;depth.area
#1;#1;Spring;1;intertidal
#2;#2;Spring;2;intertidal
#4;#4;Spring;4;intertidal
#5;#5;Spring;5;intertidal
#6;#6;Spring;6;intertidal
#7;#7;Spring;7;intertidal
#8;#8;Spring;8;intertidal
#9;#9;Spring;9;intertidal
#10;#10;Spring;10;intertidal
#11;#11;Spring;11;intertidal
#12;#12;Spring;12;intertidal
#13;#13;Spring;13;intertidal
#14;#14;Spring;14;intertidal
#15;#15;Spring;15;intertidal
#16;#16;Spring;16;intertidal
#17;#17;Spring;17;intertidal
#18;#18;Spring;18;shallow
#19;#19;Spring;19;shallow
#20;#20;Spring;20;shallow
#21;#21;Spring;21;shallow
#22;#22;Spring;22;shallow
#23;#23;Spring;23;shallow
#24;#24;Spring;24;shallow
#25;#25;Spring;25;medium
#28;#28;Spring;28;medium
#29;#29;Spring;29;medium
#30;#30;Spring;30;medium
#31;#31;Spring;31;deep
#32;#32;Spring;32;deep
#33;#33;Spring;33;deep
#34;#34;Spring;34;deep
#35;#35;Spring;35;deep
#36;#36;Spring;36;deep
#37;#37;Spring;37;deep
#38;#38;Summer;1;intertidal
#39;#39;Summer;2;intertidal
#40;#40;Summer;3;intertidal
#41;#41;Summer;4;intertidal
#42;#42;Summer;5;intertidal
#43;#43;Summer;6;intertidal
#44;#44;Summer;7;intertidal
#45;#45;Summer;8;intertidal
#46;#46;Summer;9;intertidal
#47;#47;Summer;10;intertidal
#48;#48;Summer;11;intertidal
#49;#49;Summer;12;intertidal
#50;#50;Summer;13;intertidal
#51;#51;Summer;14;intertidal
#52;#52;Summer;15;intertidal
#53;#53;Summer;16;intertidal
#54;#54;Summer;17;intertidal
#55;#55;Summer;18;shallow
#56;#56;Summer;19;shallow
#57;#57;Summer;20;shallow
#58;#58;Summer;21;shallow
#59;#59;Summer;22;shallow
#60;#60;Summer;23;shallow
#61;#61;Summer;24;shallow
#62;#62;Summer;25;medium
#63;#63;Summer;26;medium
#64;#64;Summer;27;medium
#66;#66;Summer;29;medium
#67;#67;Summer;30;medium
#68;#68;Summer;31;deep
#69;#69;Summer;32;deep
#70;#70;Summer;33;deep
#71;#71;Summer;34;deep
#72;#72;Summer;35;deep
#73;#73;Summer;36;deep
#74;#74;Summer;37;deep
#75;#75;Autumn;1;intertidal
#76;#76;Autumn;2;intertidal
#77;#77;Autumn;3;intertidal
#78;#78;Autumn;4;intertidal
#79;#79;Autumn;5;intertidal
#80;#80;Autumn;6;intertidal
#81;#81;Autumn;7;intertidal
#82;#82;Autumn;8;intertidal
#83;#83;Autumn;9;intertidal
#84;#84;Autumn;10;intertidal
#85;#85;Autumn;11;intertidal
#86;#86;Autumn;12;intertidal
#87;#87;Autumn;13;intertidal
#88;#88;Autumn;14;intertidal
#89;#89;Autumn;15;intertidal
#90;#90;Autumn;16;intertidal
#91;#91;Autumn;17;intertidal
#92;#92;Autumn;18;shallow
#93;#93;Autumn;19;shallow
#94;#94;Autumn;20;shallow
#95;#95;Autumn;21;shallow
#96;#96;Autumn;22;shallow
#97;#97;Autumn;23;shallow
#98;#98;Autumn;24;shallow
#99;#99;Autumn;25;medium
#100;#100;Autumn;26;medium
#101;#101;Autumn;27;medium
#102;#102;Autumn;28;medium
#103;#103;Autumn;29;medium
#104;#104;Autumn;30;medium
#105;#105;Autumn;31;deep
#106;#106;Autumn;32;deep
#109;#109;Autumn;35;deep
#110;#110;Autumn;36;deep
#111;#111;Autumn;37;deep
#112;#112;Winter;1;intertidal
#113;#113;Winter;2;intertidal
#114;#114;Winter;3;intertidal
#115;#115;Winter;4;intertidal
#116;#116;Winter;5;intertidal
#117;#117;Winter;6;intertidal
#118;#118;Winter;7;intertidal
#119;#119;Winter;8;intertidal
#120;#120;Winter;9;intertidal
#121;#121;Winter;10;intertidal
#122;#122;Winter;11;intertidal
#123;#123;Winter;12;intertidal
#124;#124;Winter;13;intertidal
#125;#125;Winter;14;intertidal
#126;#126;Winter;15;intertidal
#127;#127;Winter;16;intertidal
#128;#128;Winter;17;intertidal
#129;#129;Winter;18;shallow
#130;#130;Winter;19;shallow
#131;#131;Winter;20;shallow
#132;#132;Winter;21;shallow
#133;#133;Winter;22;shallow
#134;#134;Winter;23;shallow
#135;#135;Winter;24;shallow
#136;#136;Winter;25;medium
#137;#137;Winter;26;medium
#138;#138;Winter;27;medium
#139;#139;Winter;28;medium
#140;#140;Winter;29;medium
#141;#141;Winter;30;medium
#142;#142;Winter;31;deep
#143;#143;Winter;32;deep
#144;#144;Winter;33;deep
#146;#146;Winter;35;deep
#147;#147;Winter;36;deep
#148;#148;Winter;37;deep
